M1,M2,M3,P1,T1,T1F,P2,P3,T2,TR,T2F,P4,T3,R1,R2,R3,r1,r2,r3,V
1.0,0.5,0.5,1.0,6.2,,0.8,0.0,35.599998,,,0.0,52.25,0.45097050174782616,101.78583838043481,0.5202161069478262,1.0,1.0,1.0,1.0
0.8,0.5,0.5,1.0,6.2,,1.0,0.0,35.599998,,,0.0,57.0,0.3387026220979131,78.23470770895655,0.39070972224991307,1.0,0.0,1.0,1.0
0.5,0.3,0.9,0.2,8.0,49.0,1.0,0.0,29.0,,,1.0,60.0,0.41346732959423915,47.41515706070653,0.014876376927499971,1.0,0.0,0.0,1.0
0.9,0.5,0.7,1.0,7.4,,0.8,0.0,31.4,,,1.0,53.5,0.6048674274896217,89.67542645018045,0.24132586511907397,0.0,0.0,0.0,0.0
0.8,0.45,0.6,1.0,7.4,,1.0,0.0,30.6,,,0.8,55.400002,0.43004692998059135,78.34296939651304,0.29936541436723485,1.0,0.0,0.0,1.0
0.7,0.25,0.8,1.0,5.4,,0.666667,0.166667,35.0,1.569487,58.0,1.0,73.25,0.5215335954375132,67.48223586572935,0.09931016847553037,1.0,0.0,0.0,1.0
0.9,0.3,0.6,1.0,6.2,,0.571429,0.285714,35.599998,1.583497,55.0,0.75,67.5,0.4988986414562348,90.62405007932392,0.3472946511524609,1.0,0.0,0.0,1.0
0.7,0.3,0.6,1.0,7.0,,0.5,0.333333,26.0,1.483339,59.5,1.0,55.666668,0.3660370663278522,67.49441471326304,0.2548066975851913,1.0,0.0,0.0,1.0
0.6,0.45,0.6,1.0,6.6,,0.8,0.0,32.0,,,1.0,57.5,0.3068690504980174,57.346050339747826,0.21361850080633044,1.0,0.0,0.0,1.0
0.5,0.45,0.8,0.6,12.666667,38.0,0.666667,0.0,27.666666,,,1.0,51.5,0.3598258472265218,47.88621785171196,0.06851785929521734,1.0,0.0,0.0,1.0
0.6,0.3,0.5,1.0,4.2,,0.5,0.166667,38.799999,2.736082,58.0,0.0,57.0,0.24168839444817392,57.100962734782605,0.2787991568561739,1.0,0.0,0.0,1.0
0.6,0.35,0.9,1.0,8.0,,0.833333,0.166667,26.4,1.276843,56.0,1.0,68.599998,0.5024110186475479,57.14122697416522,0.018076532656799964,1.0,0.0,0.0,1.0
0.8,0.35,1.0,1.0,7.2,,1.0,0.0,33.799999,,,1.0,55.599998,0.7954241615113046,78.55629996230437,-0.06601181716347829,0.0,0.0,0.0,0.0
0.7,0.45,0.8,0.333333,10.0,51.5,1.0,0.0,25.0,,,1.0,89.0,0.5215335954375132,67.47463751457718,0.09931016847553037,1.0,0.0,0.0,1.0
1.0,0.25,1.0,1.0,8.0,,1.0,0.0,28.799999,,,0.6,62.400002,1.0590789967826089,103.78784547391305,-0.08789238808695657,0.0,1.0,0.0,1.0
0.8,0.4,0.6,1.0,5.6,,1.0,0.0,38.0,,,0.8,55.400002,0.43004692998059135,78.45282748873043,0.29936541436723485,1.0,0.0,0.0,1.0
0.9,0.45,0.8,1.0,6.6,,1.0,0.0,32.400002,,,0.8,65.400002,0.7108362135230089,89.91886848725979,0.13535707908568687,0.0,0.0,0.0,0.0
0.5,0.45,0.5,0.6,12.666667,39.5,0.333333,0.0,26.666666,,,0.0,53.0,0.19890140012336957,47.9293499232337,0.22944230639836954,1.0,0.0,0.0,1.0
1.0,0.25,0.6,1.0,6.0,,0.833333,0.166667,34.799999,3.009117,57.0,1.0,56.799999,0.5725922007547827,103.73649864260871,0.39859440794086964,1.0,1.0,1.0,1.0
0.5,0.25,0.9,0.2,12.0,37.0,0.0,0.0,22.0,,,,,0.41346732959423915,47.262929249429355,0.014876376927499971,1.0,0.0,0.0,1.0
0.5,0.5,0.6,1.0,9.0,,1.0,0.0,26.0,,,1.0,51.5,0.252542882491087,48.067200377336974,0.17580082403065217,1.0,0.0,0.0,1.0
0.7,0.35,0.7,1.0,8.2,,0.8,0.0,30.6,,,1.0,55.25,0.4437853308826826,67.48547590781413,0.1770584330303609,1.0,0.0,0.0,1.0
