,p1,T1,T1F,p2,p3,T2,TR,T2F,p4,T3
p1,1.0,-0.2629336413107744,-0.927970179947368,0.06919840983287703,-0.09738657278298816,0.0021168061323776507,-0.0777840032715278,-0.0812078668180974,0.22581257840293237,0.2201102023300875
T1,-0.2629336413107744,1.0,0.3183804843364373,-0.059960691662437324,-0.07127657691753654,-0.03077540067419244,0.007319205155379409,0.03417872375311311,0.039122607787616545,0.04108620638223508
T1F,-0.927970179947368,0.31838048433643734,1.0,-0.004911836861478934,0.002479480202555265,-0.012653000757977234,0.004798358892915105,0.01232419573397948,-0.15652783624831193,-0.15683427630510616
p2,0.06919840983287702,-0.05996069166243732,-0.0049118368614789335,1.0,-0.9707147344778327,0.11385660224357279,-0.811529035759115,-0.7874816579725935,-0.14994990886480708,-0.22257307961060122
p3,-0.09738657278298819,-0.07127657691753653,0.0024794802025552647,-0.9707147344778327,1.0,-0.0907690833787026,0.7686052908926482,0.7682546189873967,-0.2300926436700624,-0.20685159127792008
T2,0.0021168061323776507,-0.030775400674192436,-0.012653000757977232,0.11385660224357277,-0.09076908337870257,1.0,-0.19600880254091532,-0.19248815338716294,-0.009337333798767517,-0.017231637081922012
TR,-0.07778400327152782,0.007319205155379408,0.004798358892915103,-0.8115290357591151,0.7686052908926482,-0.19600880254091527,1.0,0.9995870514788302,-0.07486377041904942,-0.06484628947148197
T2F,-0.0812078668180974,0.03417872375311311,0.01232419573397948,-0.7874816579725936,0.7682546189873967,-0.19248815338716294,0.9995870514788301,1.0,-0.07851723730736962,-0.06737383346179637
p4,0.22581257840293234,0.039122607787616545,-0.1565278362483119,-0.1499499088648071,-0.23009264367006238,-0.009337333798767517,-0.0748637704190494,-0.07851723730736962,1.0,0.9902241175493651
T3,0.22011020233008752,0.04108620638223508,-0.15683427630510619,-0.22257307961060122,-0.20685159127792005,-0.017231637081922012,-0.06484628947148195,-0.06737383346179639,0.9902241175493653,1.0
