"time","m1","m2","m3","-","--","NA"
0,0.953761535,0.434628752,0.952249755,0.5,NA,0
1,0.948665663,0.447905039,0.951855864,2,NA,1
2,0.965551867,0.445136965,0.946431725,0,NA,2
3,0.952751527,0.461456819,0.940623978,0.5,NA,3
4,0.941366452,0.429662431,0.938603749,2,NA,4
5,0.948325698,0.462266862,0.947255616,0,NA,5
6,0.933015152,0.443694578,0.954924151,0.5,NA,6
7,0.951736219,0.454122691,0.952879164,1,NA,7
8,0.947257959,0.454310271,0.952631042,2,NA,8
9,0.93483227,0.459830676,0.925998378,0.5,NA,9
10,0.947414045,0.448027518,0.949406534,-1,NA,10
11,0.943717528,0.456729495,0.94534475,2,NA,11
12,0.953447093,0.448725606,0.941413577,0.5,NA,12
13,0.953073025,0.459946308,0.940013132,0.5,NA,13
14,0.948704831,0.452854271,0.938559532,1,NA,14
15,0.944653353,0.449460861,0.935254058,2,NA,15
16,0.94982002,0.447485754,0.932479439,0.5,NA,16
17,0.956613746,0.455670061,0.930692398,1,NA,17
18,0.945860677,0.441830562,0.927011319,2,NA,18
19,0.941222588,0.45358978,0.923139064,0.5,NA,19
20,0.946077607,0.446072858,0.921172785,1,NA,20
21,0.950297731,0.446312124,0.915595455,-1,NA,21
22,0.946530462,0.455324658,0.911723179,0.5,NA,22
23,0.953063541,0.447460966,0.907060905,1,NA,23
24,0.951177304,0.454955995,0.905253394,2,NA,24
25,0.952877419,0.445294356,0.902632033,0.5,NA,25
26,0.947725039,0.457332754,0.900756268,1,NA,26
27,0.955524449,0.458021044,0.897893891,2,NA,27
28,0.939300179,0.448839283,0.893961279,0.5,NA,28
29,0.952225489,0.459625552,0.891090362,0.5,NA,29
30,0.956015075,0.453414265,0.887885223,2,NA,30
31,0.949248675,0.443749836,0.885933268,0.5,NA,31
32,0.948802496,0.463177435,0.883217548,0.5,NA,32
33,0.947633517,0.447497567,0.879498421,1,NA,33
34,0.956376735,0.451772365,0.874497323,2,NA,34
35,0.954872369,0.445266584,0.87231417,0.5,NA,35
36,0.950075297,0.457965104,0.869318738,1,NA,36
37,0.953396891,0.452380149,0.865857117,2,NA,37
38,0.94537143,0.454002456,0.862373084,0.5,NA,38
39,0.949066741,0.453634761,0.85831981,0.5,NA,39
40,0.952072005,0.455886007,0.855237516,2,NA,40
41,0.934094647,0.451386953,0.851898705,0.5,NA,41
42,0.954565634,0.44807324,0.848973817,0.5,NA,42
43,0.953628876,0.448695799,0.845029815,2,NA,43
44,0.964550393,0.454688316,0.842135444,0,NA,44
45,0.950648563,0.437328039,0.838337623,0.5,NA,45
46,0.946965773,0.446645776,0.835220261,2,NA,46
47,0.943547058,0.446316421,0.831875493,-1,NA,47
48,0.947196391,0.443390619,0.827806249,0.5,NA,48
49,0.943397292,0.456880146,0.82394132,1,NA,49
50,0.94525088,0.442345362,0.81992234,2,NA,50
51,0.949782163,0.455144246,0.816613339,0.5,NA,51
52,0.942373739,0.447905006,0.814094427,1,NA,52
53,0.951426323,0.457833126,0.812159293,2,NA,53
54,0.953763441,0.451022314,0.808857972,0.5,NA,54
55,0.942650864,0.450241238,0.806637462,0.5,NA,55
56,0.945369006,0.458920191,0.803186362,2,NA,56
57,0.948799418,0.448837248,0.800342106,0,NA,57
58,0.951983167,0.454918626,0.797814714,0.5,NA,58
59,0.950818304,0.443630859,0.79472012,2,NA,59
60,0.958438224,0.456904267,0.790870628,-1,NA,60
61,0.947372203,0.453931361,0.785308416,0.5,NA,61
62,0.953128492,0.454518715,0.783344906,1,NA,62
63,0.950949794,0.451641823,0.779319732,2,NA,63
64,0.95508233,0.448288501,0.776328921,0.5,NA,64
65,0.945286285,0.445112877,0.772810805,1,NA,65
66,0.944214087,0.442555861,0.771281388,2,NA,66
67,0.947083858,0.447218073,0.768919585,0.5,NA,67
68,0.952243473,0.453454683,0.765981868,1,NA,68
69,0.938393843,0.441535641,0.763071802,2,NA,69
70,0.956940983,0.442641112,0.760194139,0.5,NA,70
71,0.950997459,0.456351405,0.757387634,0.5,NA,71
72,0.948022991,0.452496031,0.755892229,2,NA,72
73,0.950333185,0.444261522,0.752453312,0.5,NA,73
74,0.943172829,0.454744696,0.748672268,0.5,NA,74
75,0.945455307,0.4461019,0.749068833,2,NA,75
76,0.952794083,0.453608176,0.745473603,0.5,NA,76
77,0.940435997,0.446486279,0.741940951,0.5,NA,77
78,0.947405145,0.450997349,0.737669279,2,NA,78
79,0.946003749,0.456455665,0.73497536,0,NA,79
80,0.953430035,0.447822024,0.73225358,0.5,NA,80
81,0.958371771,0.446324659,0.728350814,1,NA,81
