"time","m1","m2","m3","trend","time2problem","changeLight","changeFloor","changeGripper","edgeORboundary"
600,0.946412304833093,0.466252645149478,0.947144757794052,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
660,0.959217142250433,0.451876250512525,0.943360509222168,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
720,0.948799920271193,0.436375832753114,0.939828076863138,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
780,0.951696945710198,0.454361088913409,0.938326486723823,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
840,0.951112614934805,0.461155392276181,0.933848608346276,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
900,0.958880272431479,0.454280705282096,0.931515392199822,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
960,0.941178108964963,0.45875279179572,0.928683355886863,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
1020,0.952038863287531,0.450013850964192,0.924012897211159,same trend,5999940,none,none,gripper ,-9999999
1080,0.957466575761364,0.444384982442682,0.9215421315294,same trend,5999880,none,none,gripper ,-9999999
1140,0.938140998748021,0.456975799945015,0.91942244977997,same trend,5999820,none,none,gripper ,-9999999
1200,0.938511481988257,0.463699229586341,0.917653325674232,new trend,4199,none,none,gripper ,b
1260,0.981596215828181,0.45981782868177,0.915216020450613,same trend,4139,lighting ,none,gripper ,b
1320,0.944336494842656,0.465599194478899,0.911690130417834,same trend,4079,none,none,gripper ,b
1380,0.961578786176463,0.459905773638804,0.908273413489214,same trend,4019,none,none,gripper ,b
1440,0.950902794579566,0.448786778420771,0.905257052244237,same trend,3959,none,none,gripper ,b
1500,0.965023341373917,0.44622351515123,0.901271607680883,same trend,3899,none,none,gripper ,b
1560,0.95415852209888,0.458050535320118,0.897688147940617,same trend,3839,none,none,gripper ,b
1620,0.968247556890046,0.450781195796503,0.895269401769421,same trend,3779,none,none,gripper ,b
1680,0.970388824805615,0.454052649742029,0.891914566218093,same trend,3719,none,none,gripper ,b
1740,0.954080580560217,0.451529720928585,0.88864619297636,new trend,656,none,none,gripper ,b
1800,0.971742479240487,0.454068015921847,0.885314385093425,same trend,596,none,none,gripper ,b
1860,0.952949752786325,0.462104256613026,0.881932014601325,same trend,536,none,none,gripper ,b
1920,0.956964741018803,0.457788679467123,0.879198565069701,same trend,476,none,none,gripper ,b
1980,0.9635788933988,0.447267877957335,0.875085984317035,same trend,416,none,none,gripper ,b
2040,0.939351613085781,0.441131453234395,0.871762005937131,same trend,356,none,none,gripper ,b
2100,0.943684987621089,0.444219984586624,0.870240133591427,new trend,2677,none,none,gripper ,b
2160,0.94683232892312,0.46908451232995,0.867690941213061,same trend,2617,none,none,gripper ,b
2220,0.951929594259867,0.447718694241123,0.863839475023224,same trend,2557,none,none,gripper ,b
2280,0.955598541107469,0.460189166345353,0.862009387614658,same trend,2497,none,none,gripper ,b
2340,0.942197709401882,0.437693613141136,0.861218177153793,same trend,2437,none,none,gripper ,b
2400,0.951756633137698,0.449393551253572,0.858305808426634,same trend,2377,none,none,gripper ,b
2460,0.94757720173815,0.473168635257623,0.854766083386932,same trend,2317,none,none,gripper ,b
2520,0.961544256373814,0.450918615691651,0.852686561478108,same trend,2257,none,none,gripper ,b
2580,0.954560666031633,0.45601646701719,0.848377524648093,same trend,2197,none,none,gripper ,b
2640,0.937861407267839,0.447385890935081,0.845568176400876,new trend,1609,none,none,gripper ,b
2700,0.952835135222329,0.460955607438611,0.844188572206164,same trend,1549,none,none,gripper ,b
2760,0.953799412120738,0.454362318730471,0.838695696238341,same trend,1489,none,none,gripper ,b
2820,0.9342748199797,0.439822565425297,0.83594751580952,same trend,1429,none,none,gripper ,b
2880,0.952249885658187,0.476233563519852,0.833579236819808,same trend,1369,none,floor friction ,gripper ,b
2940,0.967291272287957,0.444492585341077,0.829325668080702,same trend,1309,none,none,gripper ,b
3000,0.956392191635609,0.44990307923093,0.826736381199893,same trend,1249,none,none,gripper ,b
3060,0.928576087472988,0.454284023057591,0.824195963124794,same trend,1189,none,none,gripper ,b
3120,0.962762515607844,0.451506204911857,0.82133406014556,same trend,1129,none,none,gripper ,b
3180,0.964324340134327,0.445172790130556,0.819416244520563,same trend,1069,none,none,gripper ,b
3240,0.960775766731229,0.444090170763249,0.816252003447075,same trend,1009,none,none,gripper ,b
3300,0.965684956072744,0.441510494270157,0.813589514283942,same trend,949,none,none,gripper ,b
3360,0.953392232654182,0.456319797170191,0.813297654797776,same trend,889,none,none,gripper ,b
3420,0.941732659101933,0.449001844447855,0.811329662479383,same trend,829,none,none,gripper ,b
3480,0.947544793556414,0.446958127728556,0.807311037818103,same trend,769,none,none,gripper ,b
3540,0.952209101301791,0.436651586226997,0.805038521780906,same trend,709,none,none,gripper ,b
3600,0.966736197886689,0.449769653608977,0.801175634276566,same trend,649,none,none,gripper ,b
3660,0.95465417522474,0.455709301862502,0.796920348186771,same trend,589,none,none,gripper ,b
3720,0.936650195445899,0.451989315917858,0.793711887364706,same trend,529,none,none,gripper ,b
3780,0.951698274362368,0.458669275887681,0.791066560655987,new trend,1946,none,none,gripper ,b
3840,0.955096838601537,0.457040398342052,0.789500921828617,same trend,1886,none,none,gripper ,b
3900,0.952005184375244,0.455593296806565,0.784627885232123,same trend,1826,none,none,gripper ,b
3960,0.953969330310692,0.455974178903239,0.780995148679531,same trend,1766,none,none,gripper ,b
4020,0.956519497897114,0.435877351802967,0.777015884198222,same trend,1706,none,none,gripper ,b
4080,0.971136830343929,0.456227406494272,0.774600530137189,same trend,1646,none,none,gripper ,b
4140,0.953655355085317,0.445696737960307,0.771401860760346,new trend,1718,none,none,gripper ,b
4200,0.963295698317046,0.443717328332206,0.767826150416724,same trend,1658,none,none,gripper ,b
