"time","m1","m2","m3","trend","time2problem","light","floor","gripper","edgeORboundary"
1200,0.938140999,0.4569758,0.91942245,new trend,3401,none,none,gripper ,b
1260,0.938511482,0.46369923,0.917653326,same trend,3341,none,none,gripper , 
1320,0.981596216,0.459817829,0.91521602,same trend,3281,lighting ,none,gripper , 
1380,0.944336495,0.465599194,0.91169013,same trend,3221,none,none,gripper , 
1440,0.961578786,0.459905774,0.908273413,same trend,3161,none,none,gripper , 
1500,0.950902795,0.448786778,0.905257052,same trend,3101,none,none,gripper , 
1560,0.965023341,0.446223515,0.901271608,same trend,3041,none,none,gripper , 
1620,0.954158522,0.458050535,0.897688148,same trend,2981,none,none,gripper , 
1680,0.968247557,0.450781196,0.895269402,same trend,2921,none,none,gripper , 
1740,0.970388825,0.45405265,0.891914566,same trend,2861,none,none,gripper , 
1800,0.954080581,0.451529721,0.888646193,same trend,2801,none,none,gripper , 
1860,0.971742479,0.454068016,0.885314385,same trend,2741,none,none,gripper , 
1920,0.952949753,0.462104257,0.881932015,same trend,2681,none,none,gripper , 
1980,0.956964741,0.457788679,0.879198565,same trend,2621,none,none,gripper , 
2040,0.963578893,0.447267878,0.875085984,same trend,2561,none,none,gripper , 
2100,0.939351613,0.441131453,0.871762006,same trend,2501,none,none,gripper , 
2160,0.943684988,0.444219985,0.870240134,same trend,2441,none,none,gripper , 
2220,0.946832329,0.469084512,0.867690941,same trend,2381,none,none,gripper , 
2280,0.951929594,0.447718694,0.863839475,new trend,2155,none,none,gripper ,b
2340,0.955598541,0.460189166,0.862009388,same trend,2095,none,none,gripper , 
2400,0.942197709,0.437693613,0.861218177,same trend,2035,none,none,gripper , 
2460,0.951756633,0.449393551,0.858305808,same trend,1975,none,none,gripper , 
2520,0.947577202,0.473168635,0.854766083,same trend,1915,none,none,gripper , 
2580,0.961544256,0.450918616,0.852686561,same trend,1855,none,none,gripper , 
2640,0.954560666,0.456016467,0.848377525,same trend,1795,none,none,gripper , 
2700,0.937861407,0.447385891,0.845568176,same trend,1735,none,none,gripper , 
2760,0.952835135,0.460955607,0.844188572,same trend,1675,none,none,gripper , 
2820,0.953799412,0.454362319,0.838695696,same trend,1615,none,none,gripper , 
2880,0.93427482,0.439822565,0.835947516,same trend,1555,none,none,gripper , 
2940,0.952249886,0.476233564,0.833579237,same trend,1495,none,none,gripper , 
3000,0.967291272,0.444492585,0.829325668,same trend,1435,none,none,gripper , 
3060,0.956392192,0.449903079,0.826736381,same trend,1375,none,none,gripper , 
3120,0.928576087,0.454284023,0.824195963,same trend,1315,none,none,gripper , 
3180,0.962762516,0.451506205,0.82133406,same trend,1255,none,none,gripper , 
3240,0.96432434,0.44517279,0.819416245,same trend,1195,none,none,gripper , 
3300,0.960775767,0.444090171,0.816252003,same trend,1135,none,none,gripper , 
3360,0.965684956,0.441510494,0.813589514,same trend,1075,none,none,gripper , 
3420,0.953392233,0.456319797,0.813297655,same trend,1015,none,none,gripper , 
3480,0.941732659,0.449001844,0.811329662,same trend,955,none,none,gripper , 
3540,0.947544794,0.446958128,0.807311038,same trend,895,none,none,gripper , 
3600,0.952209101,0.436651586,0.805038522,same trend,835,none,none,gripper , 
3660,0.966736198,0.449769654,0.801175634,same trend,775,none,none,gripper , 
3720,0.954654175,0.455709302,0.796920348,same trend,715,none,none,gripper , 
3780,0.936650195,0.451989316,0.793711887,same trend,655,none,none,gripper , 
3840,0.951698274,0.458669276,0.791066561,same trend,595,none,none,gripper , 
3900,0.955096839,0.457040398,0.789500922,same trend,535,none,none,gripper , 
3960,0.952005184,0.455593297,0.784627885,same trend,475,none,none,gripper , 
4020,0.95396933,0.455974179,0.780995149,same trend,415,none,none,gripper , 
4080,0.956519498,0.435877352,0.777015884,same trend,355,none,none,gripper , 
4140,0.97113683,0.456227406,0.77460053,same trend,295,none,none,gripper , 
4200,0.953655355,0.445696738,0.771401861,same trend,235,none,none,gripper , 
4260,0.963295698,0.443717328,0.76782615,same trend,175,none,none,gripper , 
4320,0.953282866,0.466921954,0.764330395,same trend,115,none,none,gripper , 
4380,0.948494957,0.45364253,0.760949318,same trend,55,none,none,gripper , 
4440,0.967182579,0.44330692,0.757972567,same trend,-5,none,none,gripper , 
4500,0.93170533,0.46984186,0.755347353,same trend,-65,none,none,gripper , 
4560,0.939009417,0.442988968,0.75050861,same trend,-125,none,none,gripper , 
4620,0.947584424,0.452285695,0.746115628,same trend,-185,none,none,gripper , 
4680,0.941464163,0.457746218,0.743900197,same trend,-245,none,none,gripper , 
4740,0.943081221,0.439868797,0.740708366,new trend,789,none,none,gripper ,b
4800,0.946453985,0.450445626,0.73746247,same trend,729,none,none,gripper , 
4860,0.942046593,0.469732278,0.734512542,same trend,669,none,none,gripper , 
4920,0.961302931,0.456896129,0.73040889,same trend,609,none,none,gripper , 
