"time","m1","m2","m3","trend","time2problem","changeLight","changeFloor","changeGripper","edgeORboundary"
0,0.947414045,0.448027518,0.949406534,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
60,0.943717528,0.456729495,0.94534475,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
120,0.953447093,0.448725606,0.941413577,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
180,0.953073025,0.459946308,0.940013132,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
240,0.948704831,0.452854271,0.938559532,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
300,0.944653353,0.449460861,0.935254058,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
360,0.94982002,0.447485754,0.932479439,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
420,0.956613746,0.455670061,0.930692398,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
480,0.945860677,0.441830562,0.927011319,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
540,0.941222588,0.45358978,0.923139064,no problem,-9999999,-9999999,-9999999,-9999999,-9999999
600,0.946077607,0.446072858,0.921172785,new trend,4943,none,none,gripper ,b
660,0.950297731,0.446312124,0.915595455,same trend,4883,none,none,gripper ,b
720,0.946530462,0.455324658,0.911723179,same trend,4823,none,none,gripper ,b
780,0.953063541,0.447460966,0.907060905,same trend,4763,none,none,gripper ,b
840,0.951177304,0.454955995,0.905253394,same trend,4703,none,none,gripper ,b
900,0.952877419,0.445294356,0.902632033,same trend,4643,none,none,gripper ,b
960,0.947725039,0.457332754,0.900756268,same trend,4583,none,none,gripper ,b
1020,0.955524449,0.458021044,0.897893891,same trend,4523,none,none,gripper ,b
1080,0.939300179,0.448839283,0.893961279,same trend,4463,none,none,gripper ,b
1140,0.952225489,0.459625552,0.891090362,same trend,4403,none,none,gripper ,b
1200,0.956015075,0.453414265,0.887885223,same trend,4343,none,none,gripper ,b
1260,0.949248675,0.443749836,0.885933268,same trend,4283,none,none,gripper ,b
1320,0.948802496,0.463177435,0.883217548,same trend,4223,none,none,gripper ,b
1380,0.947633517,0.447497567,0.879498421,same trend,4163,none,none,gripper ,b
1440,0.956376735,0.451772365,0.874497323,same trend,4103,none,none,gripper ,b
1500,0.954872369,0.445266584,0.87231417,same trend,4043,none,none,gripper ,b
1560,0.950075297,0.457965104,0.869318738,same trend,3983,none,none,gripper ,b
1620,0.953396891,0.452380149,0.865857117,same trend,3923,none,none,gripper ,b
1680,0.94537143,0.454002456,0.862373084,same trend,3863,none,none,gripper ,b
1740,0.949066741,0.453634761,0.85831981,same trend,3803,none,none,gripper ,b
1800,0.952072005,0.455886007,0.855237516,same trend,3743,none,none,gripper ,b
1860,0.934094647,0.451386953,0.851898705,same trend,3683,none,none,gripper ,b
1920,0.954565634,0.44807324,0.848973817,same trend,3623,none,none,gripper ,b
1980,0.953628876,0.448695799,0.845029815,same trend,3563,none,none,gripper ,b
2040,0.964550393,0.454688316,0.842135444,same trend,3503,none,none,gripper ,b
2100,0.950648563,0.437328039,0.838337623,same trend,3443,none,none,gripper ,b
2160,0.946965773,0.446645776,0.835220261,same trend,3383,none,none,gripper ,b
2220,0.943547058,0.446316421,0.831875493,same trend,3323,none,none,gripper ,b
2280,0.947196391,0.443390619,0.827806249,same trend,3263,none,none,gripper ,b
2340,0.943397292,0.456880146,0.82394132,same trend,3203,none,none,gripper ,b
2400,0.94525088,0.442345362,0.81992234,same trend,3143,none,none,gripper ,b
2460,0.949782163,0.455144246,0.816613339,same trend,3083,none,none,gripper ,b
2520,0.942373739,0.447905006,0.814094427,same trend,3023,none,none,gripper ,b
2580,0.951426323,0.457833126,0.812159293,same trend,2963,none,none,gripper ,b
2640,0.953763441,0.451022314,0.808857972,same trend,2903,none,none,gripper ,b
2700,0.942650864,0.450241238,0.806637462,same trend,2843,none,none,gripper ,b
2760,0.945369006,0.458920191,0.803186362,same trend,2783,none,none,gripper ,b
2820,0.948799418,0.448837248,0.800342106,same trend,2723,none,none,gripper ,b
2880,0.951983167,0.454918626,0.797814714,same trend,2663,none,none,gripper ,b
2940,0.950818304,0.443630859,0.79472012,same trend,2603,none,none,gripper ,b
3000,0.958438224,0.456904267,0.790870628,same trend,2543,none,none,gripper ,b
3060,0.947372203,0.453931361,0.785308416,same trend,2483,none,none,gripper ,b
3120,0.953128492,0.454518715,0.783344906,same trend,2423,none,none,gripper ,b
3180,0.950949794,0.451641823,0.779319732,same trend,2363,none,none,gripper ,b
3240,0.95508233,0.448288501,0.776328921,same trend,2303,none,none,gripper ,b
3300,0.945286285,0.445112877,0.772810805,same trend,2243,none,none,gripper ,b
3360,0.944214087,0.442555861,0.771281388,same trend,2183,none,none,gripper ,b
3420,0.947083858,0.447218073,0.768919585,same trend,2123,none,none,gripper ,b
3480,0.952243473,0.453454683,0.765981868,same trend,2063,none,none,gripper ,b
3540,0.938393843,0.441535641,0.763071802,same trend,2003,none,none,gripper ,b
3600,0.956940983,0.442641112,0.760194139,same trend,1943,none,none,gripper ,b
3660,0.950997459,0.456351405,0.757387634,same trend,1883,none,none,gripper ,b
3720,0.948022991,0.452496031,0.755892229,same trend,1823,none,none,gripper ,b
3780,0.950333185,0.444261522,0.752453312,same trend,1763,none,none,gripper ,b
3840,0.943172829,0.454744696,0.748672268,same trend,1703,none,none,gripper ,b
3900,0.945455307,0.4461019,0.749068833,same trend,1643,none,none,gripper ,b
3960,0.952794083,0.453608176,0.745473603,same trend,1583,none,none,gripper ,b
4020,0.940435997,0.446486279,0.741940951,same trend,1523,none,none,gripper ,b
4080,0.947405145,0.450997349,0.737669279,same trend,1463,none,none,gripper ,b
4140,0.946003749,0.456455665,0.73497536,same trend,1403,none,none,gripper ,b
4200,0.953430035,0.447822024,0.73225358,same trend,1343,none,none,gripper ,b
4260,0.958371771,0.446324659,0.728350814,same trend,1283,none,none,gripper ,b
4320,0.953735617,0.453446877,0.725506796,same trend,1223,none,none,gripper ,b
4380,0.95151678,0.450342649,0.721640674,same trend,1163,none,none,gripper ,b
4440,0.950899438,0.452651552,0.717065345,same trend,1103,none,none,gripper ,b
4500,0.948095771,0.454154447,0.714524384,same trend,1043,none,none,gripper ,b
4560,0.941183967,0.450063262,0.709421686,same trend,983,none,none,gripper ,b
4620,0.933621084,0.447352993,0.707446652,same trend,923,none,none,gripper ,b
4680,0.930304406,0.450358014,0.703183914,same trend,863,none,none,gripper ,b
4740,0.929535898,0.449236855,0.700346478,same trend,803,none,none,gripper ,b
4800,0.924532477,0.448854305,0.69620078,new trend,0,lighting ,none,gripper ,e
4860,0.920489637,0.443270629,0.691617201,same trend,-60,lighting ,none,gripper ,e
4920,0.917376918,0.446113117,0.688342737,same trend,-120,lighting ,none,gripper ,e
4980,0.914643876,0.446077419,0.685174176,same trend,-180,lighting ,none,gripper ,e
5040,0.91228246,0.44853846,0.680962764,same trend,-240,lighting ,none,gripper ,e
5100,0.908871531,0.454517266,0.677240142,same trend,-300,lighting ,none,gripper ,e
5160,0.909319626,0.454225953,0.672801061,same trend,-360,lighting ,none,gripper ,e
5220,0.907003966,0.448123878,0.669983297,same trend,-420,lighting ,none,gripper ,e
5280,0.903122907,0.447652963,0.668068025,same trend,-480,lighting ,none,gripper ,e
5340,0.900327241,0.452075633,0.665853219,same trend,-540,lighting ,none,gripper ,e
5400,0.895630995,0.453849662,0.662689089,same trend,-600,lighting ,none,gripper ,e
5460,0.890280888,0.455535775,0.658609077,same trend,-660,lighting ,none,gripper ,e
5520,0.888746687,0.446931987,0.655734711,same trend,-720,lighting ,none,gripper ,e
5580,0.887271604,0.449293829,0.650663727,same trend,-780,lighting ,none,gripper ,e
5640,0.885464969,0.459472053,0.647546469,same trend,-840,lighting ,none,gripper ,e
5700,0.882595827,0.446267445,0.644279396,same trend,-900,lighting ,none,gripper ,e
5760,0.8753908,0.454348173,0.642480089,same trend,-960,lighting ,none,gripper ,e
5820,0.869769417,0.454975835,0.640353197,same trend,-1020,lighting ,none,gripper ,e
5880,0.86602488,0.451414656,0.63773512,same trend,-1080,lighting ,none,gripper ,e
5940,0.866437842,0.444259214,0.635571969,same trend,-1140,lighting ,none,gripper ,e
6000,0.863012192,0.44650466,0.631266441,same trend,-1200,lighting ,none,gripper ,e
6060,0.85604249,0.445482418,0.627043616,same trend,-1260,lighting ,none,gripper ,e
6120,0.855207736,0.456100646,0.623633506,same trend,-1320,lighting ,none,gripper ,e
6180,0.853579586,0.451769692,0.619041702,same trend,-1380,lighting ,none,gripper ,e
6240,0.848022963,0.454206665,0.61580844,same trend,-1440,lighting ,none,gripper ,e
6300,0.841868457,0.447056861,0.613444123,same trend,-1500,lighting ,none,gripper ,e
6360,0.836992011,0.443487581,0.61013418,same trend,-1560,lighting ,none,gripper ,e
6420,0.832156997,0.451336038,0.608466212,same trend,-1620,lighting ,none,gripper ,e
6480,0.828060991,0.445550385,0.605655126,same trend,-1680,lighting ,none,gripper ,e
6540,0.821423849,0.443927393,0.604375318,same trend,-1740,lighting ,none,gripper ,e
