"M1","M2","M3","SBV"
0.525,0.2625,0.525,-1
0.55,0.2625,0.525,-1
0.575,0.2625,0.525,-1
0.6,0.2625,0.525,-1
0.625,0.2625,0.525,-1
0.65,0.2625,0.525,-1
0.675,0.2625,0.525,-1
0.7,0.2625,0.525,-1
0.725,0.2625,0.525,-1
0.75,0.2625,0.525,-1
0.775,0.2625,0.525,-1
0.8,0.2625,0.525,-1
0.825,0.2625,0.525,-1
0.85,0.2625,0.525,-1
0.875,0.2625,0.525,-1
0.9,0.2625,0.525,-1
0.925,0.2625,0.525,-1
0.95,0.2625,0.525,-1
0.975,0.2625,0.525,-1
1,0.2625,0.525,-1
0.525,0.275,0.525,-1
0.55,0.275,0.525,-1
0.575,0.275,0.525,-1
0.6,0.275,0.525,-1
0.625,0.275,0.525,-1
0.65,0.275,0.525,-1
0.675,0.275,0.525,-1
0.7,0.275,0.525,-1
0.725,0.275,0.525,-1
0.75,0.275,0.525,-1
0.775,0.275,0.525,-1
0.8,0.275,0.525,-1
0.825,0.275,0.525,-1
0.85,0.275,0.525,-1
0.875,0.275,0.525,-1
0.9,0.275,0.525,-1
0.925,0.275,0.525,-1
0.95,0.275,0.525,-1
0.975,0.275,0.525,-1
1,0.275,0.525,-1
0.525,0.2875,0.525,-1
0.55,0.2875,0.525,-1
0.575,0.2875,0.525,-1
0.6,0.2875,0.525,-1
0.625,0.2875,0.525,-1
0.65,0.2875,0.525,-1
0.675,0.2875,0.525,-1
0.7,0.2875,0.525,-1
0.725,0.2875,0.525,-1
0.75,0.2875,0.525,-1
0.775,0.2875,0.525,-1
0.8,0.2875,0.525,-1
0.825,0.2875,0.525,-1
0.85,0.2875,0.525,-1
0.875,0.2875,0.525,-1
0.9,0.2875,0.525,-1
0.925,0.2875,0.525,-1
0.95,0.2875,0.525,-1
0.975,0.2875,0.525,-1
1,0.2875,0.525,-1
0.525,0.3,0.525,-1
0.55,0.3,0.525,-1
0.575,0.3,0.525,-1
0.6,0.3,0.525,-1
0.625,0.3,0.525,-1
0.65,0.3,0.525,-1
0.675,0.3,0.525,-1
0.7,0.3,0.525,-1
0.725,0.3,0.525,-1
0.75,0.3,0.525,-1
0.775,0.3,0.525,-1
0.8,0.3,0.525,-1
0.825,0.3,0.525,-1
0.85,0.3,0.525,-1
0.875,0.3,0.525,-1
0.9,0.3,0.525,-1
0.925,0.3,0.525,-1
0.95,0.3,0.525,-1
0.975,0.3,0.525,-1
1,0.3,0.525,-1
0.525,0.3125,0.525,-1
0.55,0.3125,0.525,-1
0.575,0.3125,0.525,-1
0.6,0.3125,0.525,-1
0.625,0.3125,0.525,-1
0.65,0.3125,0.525,-1
0.675,0.3125,0.525,-1
0.7,0.3125,0.525,-1
0.725,0.3125,0.525,-1
0.75,0.3125,0.525,-1
0.775,0.3125,0.525,-1
0.8,0.3125,0.525,-1
0.825,0.3125,0.525,-1
0.85,0.3125,0.525,-1
0.875,0.3125,0.525,-1
0.9,0.3125,0.525,-1
0.925,0.3125,0.525,-1
0.95,0.3125,0.525,-1
0.975,0.3125,0.525,-1
1,0.3125,0.525,-1
0.525,0.325,0.525,-1
0.55,0.325,0.525,-1
0.575,0.325,0.525,-1
0.6,0.325,0.525,-1
0.625,0.325,0.525,-1
0.65,0.325,0.525,-1
0.675,0.325,0.525,-1
0.7,0.325,0.525,-1
0.725,0.325,0.525,-1
0.75,0.325,0.525,-1
0.775,0.325,0.525,-1
0.8,0.325,0.525,-1
0.825,0.325,0.525,-1
0.85,0.325,0.525,-1
0.875,0.325,0.525,-1
0.9,0.325,0.525,-1
0.925,0.325,0.525,-1
0.95,0.325,0.525,-1
0.975,0.325,0.525,-1
1,0.325,0.525,-1
0.525,0.3375,0.525,-1
0.55,0.3375,0.525,-1
0.575,0.3375,0.525,-1
0.6,0.3375,0.525,-1
0.625,0.3375,0.525,-1
0.65,0.3375,0.525,-1
0.675,0.3375,0.525,-1
